id_comercio|id_bandera|id_sucursal|id_producto|productos_ean|productos_descripcion|productos_cantidad_presentacion|productos_unidad_medida_presentacion|productos_marca|productos_precio_lista|productos_precio_referencia|productos_cantidad_referencia|productos_unidad_medida_referencia|productos_precio_unitario_promo1|productos_leyenda_promo1|productos_precio_unitario_promo2|productos_leyenda_promo2
3|1|1389|7798082741517|1|TIA MARUCA FAJITAS CEBOLLA X 150 GR.|150.00|gr| |72.00|480.00|1|kg||||
3|1|1389|7798082745140|1|TIA MARUCA GALLETITAS PEPAS  X 250 GR.|1.00|unidad| |1790.00|1790.00|1|unidad||||
3|1|1389|0000000021068|0|TIA MARUCA TOSTADITAS DE ARROZ SIN SAL X 120G|120.00|gr| |75.00|625.00|1|kg||||
3|1|1389|0000000020229|0|TIC TAC PASTILLAS SABOR FRUTILLA CAJA X 16G|1.00|unidad| |180.00|180.00|1|unidad||||
3|1|1389|7861002910314|1|TIC TAC PASTILLAS SABOR MENTA CAJA X 16 GR.|1.00|unidad| |1060.00|1060.00|1|unidad||||
3|1|1389|0000000021708|0|TIC TAC PASTILLAS SABOR MIX FRUTAL X 16GR|1.00|unidad| |870.00|870.00|1|unidad||||
3|1|1389|7861002910321|1|TIC TAC PASTILLAS SABOR NARANJA CAJA X 16 GR.|1.00|unidad| |1060.00|1060.00|1|unidad||||
3|1|1389|0000000021745|0|TIC TACT PASTILLAS SABOR FRUTOS ROJOS X 16G|16.00|gr| |80.00|5000.00|1|kg||||
3|1|1389|7622201142308|1|TITA GALLETITA CHOCO RELLENA CUBIERTA C/CHOC X 18G|1.00|unidad| |65.00|65.00|1|unidad||||
3|1|1389|7790206509805|1|TIVIS CUBANITO RELL.BAÑAD.C/CHOCOLATE Y CEREAL 25G|1.00|unidad| |1730.00|1730.00|1|unidad||||
3|1|1389|7790040116610|1|TOFI ALFAJOR NEGRO X 46G|1.00|unidad| |820.00|820.00|1|unidad||||
3|1|1389|7790040484801|1|TOFI ALFAJOR TRIPLE CHOCOLATE X 73GR|1.00|unidad| |1650.00|1650.00|1|unidad||||
3|1|1389|7790580746407|1|TOFI CHOCOLATE BLANCO RELL. C/D.DE LECHE TAB.X 27G|1.00|unidad| |1580.00|1580.00|1|unidad||||
3|1|1389|7790580746308|1|TOFI CHOCOLATE C/LECHE RELLENO D.LECHE X 28G|1.00|unidad| |1580.00|1580.00|1|unidad||||
3|1|1389|7790580746612|1|TOFI CHOCOLATE C/LECHE RELLENO D.LECHE X 55G|1.00|unidad| |420.00|420.00|1|unidad||||
3|1|1389|7798024760354|1|TOP PBT DE JAMON COCIDO Y QUESO X UN|1.00|unidad| |5030.00|5030.00|1|unidad||||
3|1|1389|0000000019823|0|TOPLINE 7 CHICLE S/AZUCAR ATM STRONG X 14G|1.00|unidad| |1030.00|1030.00|1|unidad||||
3|1|1389|0000000018843|0|TOPLINE 7 CHICLE S/AZUCAR MANDARINA  CAJA X 14G|1.00|unidad| |1030.00|1030.00|1|unidad||||
3|1|1389|0000000019822|0|TOPLINE 7 CHICLE S/AZUCAR STRAWBERRY X 14G|1.00|unidad| |1030.00|1030.00|1|unidad||||
3|1|1389|0000000018842|0|TOPLINE 7 CHICLE X-PLOSIVE MINT CAJA X 14G|1.00|unidad| |1030.00|1030.00|1|unidad||||
3|1|1389|7790580123345|1|TOPLINE 7 MENTHOL X 14G|1.00|unidad| |1030.00|1030.00|1|unidad||||
3|1|1389|0000000020883|0|TOPLINE 7 SANDIA X 14G|1.00|unidad| |1030.00|1030.00|1|unidad||||
3|1|1389|7790580120573|1|TOPLINE 7 ULTRA CLEAN X 24G|1.00|unidad| |1960.00|1960.00|1|unidad||||
3|1|1389|7790580120702|1|TOPLINE 7 ULTRA GREEN MINT X 24G|1.00|unidad| |1960.00|1960.00|1|unidad||||
3|1|1389|7790580121013|1|TOPLINE 7 ULTRA RED BERRY X 24G|1.00|unidad| |1960.00|1960.00|1|unidad||||
3|1|1389|7790580104252|1|TOPLINE 7 VIOLET CHERRY X 14G|1.00|unidad| |1030.00|1030.00|1|unidad||||
3|1|1389|0000000018368|0|TOPLINE CHICLE DEFENSE S/AZUCAR TAB.X 6.7G|1.00|unidad| |410.00|410.00|1|unidad||||
3|1|1389|0000000017025|0|TOPLINE CHICLE S/AZUCAR NUEVA MENTA TABL. X 6.7 GR|1.00|unidad| |120.00|120.00|1|unidad||||
3|1|1389|0000000017026|0|TOPLINE CHICLE SIN AZUCAR FRUTA TABLETA X 6.7 GR|1.00|unidad| |410.00|410.00|1|unidad||||
3|1|1389|0000000017033|0|TOPLINE CHICLE STRONG S/AZUCAR TABLETA X 6.7G|1.00|unidad| |410.00|410.00|1|unidad||||
3|1|1389|7899975801407|1|TORPEDO EXPLOTA 51GR|51.00|gr| |205.00|4019.61|1|kg||||
3|1|1389|0000000020252|0|TORPEDO FRUTILLA|1.00|unidad| |1060.00|1060.00|1|unidad||||
3|1|1389|7798304841414|1|TORPEDO LIMON|1.00|unidad| |1060.00|1060.00|1|unidad||||
3|1|1389|0000000006102|0|TORRONCINO BARRA CEREAL CHOC.C/LECHE S/AZU X 23G|1.00|unidad| |360.00|360.00|1|unidad||||
3|1|1389|7798024760460|1|TRIPLE MIGA BLANCO J.COCIDO Y QUESO X 3 UN|1.00|unidad| |5310.00|5310.00|1|unidad||||
3|1|1389|7798024760477|1|TRIPLE MIGA NEGRO J.COCIDO Y QUESO X 3 UN|1.00|unidad| |5310.00|5310.00|1|unidad||||
3|1|1389|7790387014624|1|UNION YERBA 4FLEX X 500 GR|1.00|unidad| |1415.00|1415.00|1|unidad||||
3|1|1389|7622201745561|1|VARIEDAD GALLETITAS DULCES SURTIDAS X 390GR.|1.00|unidad|VARIEDAD|3690.00|3690.00|1|unidad||||
3|1|1389|0000000023450|0|VASO REUTILIZABLE|1.00|unidad| |2410.00|2410.00|1|unidad||||
3|1|1389|0000000020028|0|VAUQUITA LIGHT TABLETA DE DULCE DE LECHE X 22G|1.00|unidad| |190.00|190.00|1|unidad||||
3|1|1389|0000000004361|0|VAUQUITA TABLETA DE DULCE DE LECHE X 25 GR.|1.00|unidad| |190.00|190.00|1|unidad||||
3|1|1389|7799155000999|1|VDS LEVITE CERO AGUA S/G MANZANA PET X 500cc|1.00|unidad| |1920.00|1920.00|1|unidad||||
3|1|1389|7799155000944|1|VDS LEVITE CERO AGUA S/G NARANJA PET X 500cc|1.00|unidad| |1920.00|1920.00|1|unidad||||
3|1|1389|7799155000302|1|VDS LEVITE CERO AGUA S/G POMELO PET X 500cc|1.00|unidad| |1920.00|1920.00|1|unidad||||
3|1|1389|7798062541397|1|VILLA DEL SUR BIDON SIN GAS X 6.25L|6.25|l| |335.00|53.60|1|l||||
3|1|1389|7798062548716|1|VILLA DEL SUR LEVITE S/G MANZANA PET X 500cc|1.00|unidad| |1910.00|1910.00|1|unidad||||
